timestamp,runtime_hours,delta_hours
2024-01-01T08:00:00,100,0
2024-01-01T16:00:00,108,8
2024-01-02T08:00:00,116,8
2024-01-02T16:00:00,124,8
2024-01-03T08:00:00,132,8
2024-01-03T16:00:00,140,8
2024-01-04T08:00:00,148,8
2024-01-04T16:00:00,156,8
2024-01-05T08:00:00,164,8
2024-01-05T16:00:00,172,8
2024-01-06T08:00:00,180,8
2024-01-06T16:00:00,188,8
2024-01-07T08:00:00,196,8
2024-01-07T16:00:00,204,8
2024-01-08T08:00:00,212,8
2024-01-08T16:00:00,220,8
2024-01-09T08:00:00,228,8
2024-01-09T16:00:00,236,8
2024-01-10T08:00:00,244,8
2024-01-10T16:00:00,252,8
2024-01-11T08:00:00,260,8
2024-01-11T16:00:00,268,8
2024-01-12T08:00:00,276,8
2024-01-12T16:00:00,284,8
2024-01-13T08:00:00,292,8
2024-01-13T16:00:00,300,8
2024-01-14T08:00:00,308,8
2024-01-14T16:00:00,316,8
2024-01-15T08:00:00,324,8
2024-01-15T16:00:00,332,8
2024-02-01T08:00:00,500,0
2024-02-01T16:00:00,508,8
2024-02-02T08:00:00,516,8
2024-02-02T16:00:00,524,8
2024-02-03T08:00:00,532,8
2024-02-03T16:00:00,540,8
2024-02-04T08:00:00,548,8
2024-02-04T16:00:00,556,8
2024-02-05T08:00:00,564,8
2024-02-05T16:00:00,572,8
2024-03-01T08:00:00,900,0
2024-03-01T16:00:00,908,8
2024-03-02T08:00:00,916,8
2024-03-02T16:00:00,924,8
2024-03-03T08:00:00,932,8
2024-03-03T16:00:00,940,8
2024-03-04T08:00:00,948,8
2024-03-04T16:00:00,956,8
2024-03-05T08:00:00,964,8
2024-03-05T16:00:00,972,8
2024-04-01T08:00:00,1300,0
2024-04-01T16:00:00,1308,8
2024-04-02T08:00:00,1316,8
2024-04-02T16:00:00,1324,8
2024-04-03T08:00:00,1332,8
2024-04-03T16:00:00,1340,8
2024-04-04T08:00:00,1348,8
2024-04-04T16:00:00,1356,8
2024-04-05T08:00:00,1364,8
2024-04-05T16:00:00,1372,8
2024-05-01T08:00:00,1700,0
2024-05-01T16:00:00,1708,8
2024-05-02T08:00:00,1716,8
2024-05-02T16:00:00,1724,8
2024-05-03T08:00:00,1732,8
2024-05-03T16:00:00,1740,8
2024-05-04T08:00:00,1748,8
2024-05-04T16:00:00,1756,8
2024-05-05T08:00:00,1764,8
2024-05-05T16:00:00,1772,8
2024-05-20T08:00:00,2400,0
2024-05-20T14:00:00,2405,5
2024-05-20T18:00:00,2410,5
2024-05-21T10:30:00,2415.5,5.5
